subject,Classifier,number of sensors,logloss,participant
12,RDA,14,0.435765235,Able-bodied
12,QDA,14,1.892446878,Able-bodied
12,LDA,15,0.427633326,Able-bodied
12,RDA,15,0.455664727,Able-bodied
12,QDA,15,1.903493645,Able-bodied
12,LDA,16,0.433229992,Able-bodied
12,RDA,16,0.464005191,Able-bodied
12,QDA,16,1.924584784,Able-bodied
20,LDA,1,0.80967007,Amputee
20,RDA,1,0.80967007,Amputee
20,QDA,1,0.916727966,Amputee
20,LDA,2,0.654842587,Amputee
20,RDA,2,0.651881145,Amputee
20,QDA,2,0.964989771,Amputee
20,LDA,3,0.496523407,Amputee
20,RDA,3,0.496523407,Amputee
20,QDA,3,0.937828108,Amputee
20,LDA,4,0.400873631,Amputee
20,RDA,4,0.400873631,Amputee
20,QDA,4,1.422367032,Amputee
20,LDA,5,0.398888313,Amputee
20,RDA,5,0.398888313,Amputee
20,QDA,5,1.587144797,Amputee
20,LDA,6,0.322389421,Amputee
20,RDA,6,0.322389421,Amputee
20,QDA,6,1.350887311,Amputee
20,LDA,7,0.339066248,Amputee
20,RDA,7,0.339066248,Amputee
20,QDA,7,1.281381316,Amputee
20,LDA,8,0.322582833,Amputee
20,RDA,8,0.322582833,Amputee
20,QDA,8,1.19613897,Amputee
20,LDA,9,0.314188914,Amputee
20,RDA,9,0.314188914,Amputee
20,QDA,9,1.337133394,Amputee
20,LDA,10,0.306715099,Amputee
20,RDA,10,0.306715099,Amputee
20,QDA,10,1.229410826,Amputee
20,LDA,11,0.301718918,Amputee
20,RDA,11,0.301718918,Amputee
20,QDA,11,1.172425899,Amputee
20,LDA,12,0.311993505,Amputee
20,RDA,12,0.311993505,Amputee
20,QDA,12,1.173317817,Amputee
20,LDA,13,0.313378135,Amputee
20,RDA,13,0.313378135,Amputee
20,QDA,13,1.187337956,Amputee
21,LDA,1,0.806793758,Amputee
21,RDA,1,0.651611727,Amputee
21,QDA,1,0.952790286,Amputee
21,LDA,2,0.698252256,Amputee
21,RDA,2,0.532317382,Amputee
21,QDA,2,1.011971054,Amputee
21,LDA,3,0.572658528,Amputee
21,RDA,3,0.573139446,Amputee
21,QDA,3,1.121527793,Amputee
21,LDA,4,0.521824384,Amputee
21,RDA,4,0.521824384,Amputee
21,QDA,4,1.155869877,Amputee
21,LDA,5,0.488113049,Amputee
21,RDA,5,0.46999258,Amputee
21,QDA,5,1.172202839,Amputee
21,LDA,6,0.483220842,Amputee
21,RDA,6,0.488015552,Amputee
21,QDA,6,1.188695736,Amputee
21,LDA,7,0.46338112,Amputee
21,RDA,7,0.520742076,Amputee
21,QDA,7,1.201665479,Amputee
21,LDA,8,0.442489928,Amputee
21,RDA,8,0.544764649,Amputee
21,QDA,8,1.183676101,Amputee
21,LDA,9,0.443739128,Amputee
21,RDA,9,0.566273376,Amputee
21,QDA,9,1.214391077,Amputee
21,LDA,10,0.448239965,Amputee
21,RDA,10,0.563403964,Amputee
21,QDA,10,1.27495854,Amputee
21,LDA,11,0.454288696,Amputee
21,RDA,11,0.594346026,Amputee
21,QDA,11,1.278780132,Amputee
21,LDA,12,0.459224117,Amputee
21,RDA,12,0.603531018,Amputee
21,QDA,12,1.313791149,Amputee
